HOJA,CATEGORIA,ITEM,DESCRIPCION,ESTADO,PRIORIDAD,ESTIMACION,RESPONSABLE,NOTAS
BACKEND,Base de Datos,Tabla products,Productos del catálogo,COMPLETADO,Alta,3h,Backend,Con inventario y ratings
BACKEND,Base de Datos,Tabla product_reviews,Reseñas de productos,COMPLETADO,Media,2h,Backend,Con verificación de compra
BACKEND,Base de Datos,Tabla wholesaler_requests,Solicitudes mayorista,COMPLETADO,Alta,2h,Backend,Con documentos y estados
BACKEND,Base de Datos,Tabla wholesaler_pricing,Precios mayoristas,COMPLETADO,Alta,2h,Backend,Por cantidad mínima
BACKEND,Base de Datos,Tabla coupons,Sistema de cupones,COMPLETADO,Media,2h,Backend,Con validaciones y límites
BACKEND,Base de Datos,Tabla clients,Clientes para ventas,COMPLETADO,Media,1h,Backend,Para asesores de venta
BACKEND,Base de Datos,Tabla orders,Pedidos de usuarios,COMPLETADO,Alta,3h,Backend,Con estados y pagos
BACKEND,Base de Datos,Tabla order_items,Items de pedidos,COMPLETADO,Alta,2h,Backend,Productos por pedido
BACKEND,Base de Datos,Tabla payment_methods,Métodos de pago,COMPLETADO,Media,1h,Backend,Tarjetas guardadas
BACKEND,Base de Datos,Tabla delivery_options,Opciones de entrega,COMPLETADO,Alta,1h,Backend,Precios y tiempos
BACKEND,Base de Datos,Tabla support_tickets,Tickets de soporte,COMPLETADO,Baja,2h,Backend,Sistema de ayuda

BACKEND,Funciones,search_products,Búsqueda avanzada de productos,COMPLETADO,Alta,3h,Backend,Con filtros múltiples
BACKEND,Funciones,get_wholesaler_pricing,Obtener precios mayoristas,COMPLETADO,Alta,2h,Backend,Por producto y cantidad
BACKEND,Funciones,create_order_with_items,Crear pedido completo,COMPLETADO,Alta,4h,Backend,Con validaciones
BACKEND,Funciones,get_user_orders,Historial de pedidos,COMPLETADO,Alta,2h,Backend,Con paginación
BACKEND,Funciones,validate_coupon,Validar cupones de descuento,COMPLETADO,Media,2h,Backend,Con reglas de negocio
BACKEND,Funciones,update_product_rating,Actualizar rating productos,COMPLETADO,Media,1h,Backend,Trigger automático

BACKEND,Índices,idx_products_category,Índice por categoría,COMPLETADO,Alta,0.5h,Backend,Optimización consultas
BACKEND,Índices,idx_products_brand,Índice por marca,COMPLETADO,Alta,0.5h,Backend,Optimización consultas
BACKEND,Índices,idx_products_price,Índice por precio,COMPLETADO,Alta,0.5h,Backend,Para ordenamiento
BACKEND,Índices,idx_products_name_search,Índice texto completo,COMPLETADO,Alta,1h,Backend,Búsqueda por nombre
BACKEND,Índices,idx_orders_user,Índice pedidos por usuario,COMPLETADO,Alta,0.5h,Backend,Consultas rápidas
BACKEND,Índices,idx_orders_status,Índice por estado pedido,COMPLETADO,Alta,0.5h,Backend,Filtros de estado

BACKEND,Seguridad,RLS Profiles,Políticas de seguridad perfiles,COMPLETADO,Alta,2h,Backend,Solo datos propios
BACKEND,Seguridad,RLS Addresses,Políticas direcciones,COMPLETADO,Alta,1h,Backend,Solo direcciones propias
BACKEND,Seguridad,RLS Orders,Políticas pedidos,COMPLETADO,Alta,2h,Backend,Solo pedidos propios
BACKEND,Seguridad,RLS Reviews,Políticas reseñas,COMPLETADO,Media,1h,Backend,Lectura pública/escritura propia
BACKEND,Seguridad,RLS Wholesaler,Políticas mayoristas,COMPLETADO,Alta,1h,Backend,Solo solicitudes propias

API,Autenticación,POST /auth/signup,Registro de usuario,COMPLETADO,Alta,1h,Backend,Con validaciones
API,Autenticación,POST /auth/signin,Inicio de sesión,COMPLETADO,Alta,1h,Backend,JWT tokens
API,Autenticación,POST /auth/signout,Cerrar sesión,COMPLETADO,Alta,0.5h,Backend,Invalidar token
API,Autenticación,POST /auth/recover,Recuperar contraseña,COMPLETADO,Media,1h,Backend,Email recovery

API,Productos,GET /products,Listar productos,COMPLETADO,Alta,1h,Backend,Con paginación
API,Productos,GET /products/:id,Detalle producto,COMPLETADO,Alta,0.5h,Backend,Información completa
API,Productos,POST /rpc/search_products,Búsqueda avanzada,COMPLETADO,Alta,2h,Backend,Filtros múltiples
API,Productos,GET /categories,Listar categorías,COMPLETADO,Alta,0.5h,Backend,Con orden
API,Productos,GET /brands,Listar marcas,COMPLETADO,Alta,0.5h,Backend,Con logos

API,Usuario,GET /profiles,Obtener perfil,COMPLETADO,Alta,0.5h,Backend,Información personal
API,Usuario,PATCH /profiles,Actualizar perfil,COMPLETADO,Alta,1h,Backend,Con validaciones
API,Usuario,GET /addresses,Listar direcciones,COMPLETADO,Alta,1h,Backend,Por usuario
API,Usuario,POST /addresses,Crear dirección,COMPLETADO,Alta,1h,Backend,Con validaciones
API,Usuario,PATCH /addresses,Actualizar dirección,COMPLETADO,Media,1h,Backend,Solo propias
API,Usuario,DELETE /addresses,Eliminar dirección,COMPLETADO,Media,0.5h,Backend,Solo propias

API,Mayorista,POST /wholesaler_requests,Solicitar mayorista,COMPLETADO,Alta,2h,Backend,Con documentos
API,Mayorista,GET /wholesaler_requests,Ver solicitudes,COMPLETADO,Alta,1h,Backend,Solo propias
API,Mayorista,GET /wholesaler_pricing,Precios mayoristas,COMPLETADO,Alta,1h,Backend,Por producto
API,Mayorista,POST /rpc/get_wholesaler_pricing,Precios formateados,COMPLETADO,Alta,1h,Backend,Con descuentos

API,Pedidos,POST /rpc/create_order_with_items,Crear pedido,COMPLETADO,Alta,3h,Backend,Transaccional
API,Pedidos,GET /orders,Listar pedidos,COMPLETADO,Alta,1h,Backend,Por usuario
API,Pedidos,GET /order_items,Items de pedido,COMPLETADO,Alta,1h,Backend,Con productos
API,Pedidos,PATCH /orders,Actualizar estado,COMPLETADO,Media,1h,Backend,Solo admin

API,Tiendas,GET /stores,Listar tiendas,COMPLETADO,Alta,0.5h,Backend,Activas solamente
API,Tiendas,GET /delivery_options,Opciones entrega,COMPLETADO,Alta,0.5h,Backend,Con precios

API,Cupones,GET /coupons,Obtener cupón,COMPLETADO,Media,0.5h,Backend,Por código
API,Cupones,POST /rpc/validate_coupon,Validar cupón,COMPLETADO,Media,1h,Backend,Con reglas

API,Reseñas,GET /product_reviews,Reseñas producto,COMPLETADO,Media,1h,Backend,Públicas
API,Reseñas,POST /product_reviews,Crear reseña,COMPLETADO,Media,1h,Backend,Solo autenticados

API,Soporte,GET /support_tickets,Tickets soporte,COMPLETADO,Baja,1h,Backend,Solo propios
API,Soporte,POST /support_tickets,Crear ticket,COMPLETADO,Baja,1h,Backend,Con prioridades

PENDIENTE,Analytics,Dashboard Ventas,Panel de control ventas,PENDIENTE,Alta,8h,Backend,Métricas en tiempo real
PENDIENTE,Analytics,Reportes Inventario,Reportes de stock,PENDIENTE,Alta,6h,Backend,Con alertas
PENDIENTE,Analytics,Métricas Usuario,Comportamiento usuarios,PENDIENTE,Media,4h,Backend,Analytics avanzado

PENDIENTE,Notificaciones,Push Notifications,Notificaciones push,PENDIENTE,Alta,6h,Backend,Estados pedidos
PENDIENTE,Notificaciones,Email Notifications,Emails automáticos,PENDIENTE,Alta,4h,Backend,Confirmaciones
PENDIENTE,Notificaciones,SMS Notifications,SMS para pedidos,PENDIENTE,Media,3h,Backend,Integración SMS

PENDIENTE,Pagos,Stripe Integration,Integración Stripe,PENDIENTE,Alta,8h,Backend,Pagos con tarjeta
PENDIENTE,Pagos,PayPal Integration,Integración PayPal,PENDIENTE,Alta,6h,Backend,Pagos PayPal
PENDIENTE,Pagos,Webhook Payments,Webhooks de pago,PENDIENTE,Alta,4h,Backend,Confirmaciones automáticas

PENDIENTE,Avanzado,Recomendaciones,Motor recomendaciones,PENDIENTE,Media,12h,Backend,ML básico
PENDIENTE,Avanzado,Wishlist,Lista de deseos,PENDIENTE,Media,4h,Frontend+Backend,Productos favoritos
PENDIENTE,Avanzado,Comparar Productos,Comparación productos,PENDIENTE,Baja,6h,Frontend,Tabla comparativa

PENDIENTE,Optimización,Cache Redis,Sistema de cache,PENDIENTE,Alta,6h,Backend,Performance
PENDIENTE,Optimización,CDN Images,CDN para imágenes,PENDIENTE,Media,4h,Backend,Carga rápida
PENDIENTE,Optimización,Database Optimization,Optimización BD,PENDIENTE,Alta,8h,Backend,Consultas rápidas

PENDIENTE,Testing,Unit Tests,Pruebas unitarias,PENDIENTE,Alta,16h,Backend,Cobertura 80%
PENDIENTE,Testing,Integration Tests,Pruebas integración,PENDIENTE,Alta,12h,Backend,APIs completas
PENDIENTE,Testing,Load Testing,Pruebas de carga,PENDIENTE,Media,8h,Backend,Performance bajo carga

PENDIENTE,DevOps,CI/CD Pipeline,Pipeline despliegue,PENDIENTE,Alta,12h,DevOps,Automatización
PENDIENTE,DevOps,Monitoring,Monitoreo sistema,PENDIENTE,Alta,8h,DevOps,Alertas y métricas
PENDIENTE,DevOps,Backup Strategy,Estrategia respaldos,PENDIENTE,Alta,6h,DevOps,Recuperación datos
